"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1086","should display correct URL on checkout step two","firefox","2026-08-03","passed","2026-08-03","Checkout Step One > Checkout Step Two","web/4.checkout.spec.ts","",""
"","775","should fill checkout info and continue","chromium","2026-08-03","passed","2026-08-03","Checkout Step One","web/4.checkout.spec.ts","",""
"","945","should cancel checkout and return to cart","firefox","2026-08-03","passed","2026-08-03","Checkout Step One","web/4.checkout.spec.ts","",""
"","1605","should display correct URL on checkout step two","webkit","2026-08-03","passed","2026-08-03","Checkout Step One > Checkout Step Two","web/4.checkout.spec.ts","",""
"","782","should display checkout page title","chromium","2026-08-03","passed","2026-08-03","Checkout Step One","web/4.checkout.spec.ts","",""
"","1182","should display correct title on checkout step two","firefox","2026-08-03","passed","2026-08-03","Checkout Step One > Checkout Step Two","web/4.checkout.spec.ts","",""
"","1208","should fill checkout info and continue","firefox","2026-08-03","passed","2026-08-03","Checkout Step One","web/4.checkout.spec.ts","",""
"","1678","should display correct title on checkout step two","webkit","2026-08-03","passed","2026-08-03","Checkout Step One > Checkout Step Two","web/4.checkout.spec.ts","",""
"","1647","should fill checkout info and continue","webkit","2026-08-03","passed","2026-08-03","Checkout Step One","web/4.checkout.spec.ts","",""
"","1664","should show error when first name is missing","webkit","2026-08-03","passed","2026-08-03","Checkout Step One","web/4.checkout.spec.ts","",""
"","727","should cancel checkout and return to cart","chromium","2026-08-03","passed","2026-08-03","Checkout Step One","web/4.checkout.spec.ts","",""
"","1244","should show error when first name is missing","firefox","2026-08-03","passed","2026-08-03","Checkout Step One","web/4.checkout.spec.ts","",""
"","778","should display added item on checkout overview","chromium","2026-08-03","passed","2026-08-03","Checkout Step One > Checkout Step Two","web/4.checkout.spec.ts","",""
"","734","should display correct title on checkout step two","chromium","2026-08-03","passed","2026-08-03","Checkout Step One > Checkout Step Two","web/4.checkout.spec.ts","",""
"","6288","should display checkout page title","webkit","2026-08-03","passed","2026-08-03","Checkout Step One","web/4.checkout.spec.ts","",""
"","774","should display correct URL on checkout step two","chromium","2026-08-03","passed","2026-08-03","Checkout Step One > Checkout Step Two","web/4.checkout.spec.ts","",""
"","2141","should display checkout page title","firefox","2026-08-03","passed","2026-08-03","Checkout Step One","web/4.checkout.spec.ts","",""
"","1136","should display added item on checkout overview","firefox","2026-08-03","passed","2026-08-03","Checkout Step One > Checkout Step Two","web/4.checkout.spec.ts","",""
"","768","should show error when first name is missing","chromium","2026-08-03","passed","2026-08-03","Checkout Step One","web/4.checkout.spec.ts","",""
"","1548","should cancel checkout and return to cart","webkit","2026-08-03","passed","2026-08-03","Checkout Step One","web/4.checkout.spec.ts","",""
"","1663","should display added item on checkout overview","webkit","2026-08-03","passed","2026-08-03","Checkout Step One > Checkout Step Two","web/4.checkout.spec.ts","",""
